"sid","fail","est","se","icc","identL","identU","identC","identR","identEL","identER","logitL","logitU","logitC","logitR","logitEL","logitER"
1239,0,0.560599372891614,0.0288896285719226,0.0655957150911667,0.502512881550052,0.618685864233178,0.9514,0.534,0.027,0.0216,0.501944783349458,0.617593729922277,0.9528,0.5256,0.0244,0.0228
1240,0,0.559901072612849,0.0288665832594457,0.0646581495012389,0.501860916977555,0.617941228248145,0.9486,0.5268,0.026,0.0254,0.501304513076688,0.616861640678133,0.9514,0.5202,0.0226,0.026
1241,0,0.560480581720766,0.0305608169949982,0.0538798494109549,0.49903394084923,0.6219272225923,0.9518,0.4906,0.0272,0.021,0.498418426098364,0.620691630241295,0.9536,0.4828,0.025,0.0214
1242,4e-04,0.560528570174338,0.0306680577971885,0.0540721544784757,0.498866307218481,0.622190833130194,0.954181672669068,0.491796718687475,0.0258103241296519,0.0200080032012805,0.498247308488935,0.620945941773349,0.955382152861144,0.481592637054822,0.0240096038415366,0.0206082432973189
1243,0,0.560179605930331,0.0218263763749664,0.0810346032151629,0.516294734957836,0.604064476902825,0.9452,0.754,0.0286,0.0262,0.515936242948592,0.603478813761724,0.9468,0.7508,0.0266,0.0266
1244,0,0.559945917187148,0.0218248071574814,0.0805030213880677,0.516064201337866,0.603827633036424,0.9516,0.7614,0.0268,0.0216,0.515707478679605,0.60324394009478,0.953,0.7582,0.0248,0.0222
1245,0,0.559830365367085,0.0226161934431309,0.0651784997812906,0.514357460745174,0.605303269988997,0.949,0.7278,0.0266,0.0244,0.513980349666928,0.604673537390984,0.95,0.724,0.025,0.025
1246,0,0.560250681698327,0.0226259101850007,0.0648451992722873,0.51475824025748,0.605743123139173,0.9494,0.7386,0.0272,0.0234,0.514376950469758,0.605109228930384,0.9504,0.7332,0.0258,0.0238
1247,0,0.559707264179027,0.0233170929942943,0.0536108422093974,0.512825106557943,0.606589421800114,0.9514,0.6968,0.0262,0.0224,0.512429306788016,0.605917057386296,0.9522,0.6922,0.0248,0.023
1248,0,0.560247881901894,0.0233543889609821,0.0534077534908864,0.513290735713866,0.607205028089921,0.9554,0.7112,0.0238,0.0208,0.512887989662868,0.606524427528986,0.9562,0.7064,0.0222,0.0216
1249,0,0.639147194074537,0.0578678190527091,0.0813872013679428,0.505703764043741,0.77259062410533,0.9626,0.55,0.023,0.0144,0.498245124818812,0.758857552676864,0.9678,0.5076,0.015,0.0172
1250,0,0.638286370195164,0.057590736051018,0.081326963939386,0.505481894712063,0.771090845678262,0.9572,0.5304,0.0268,0.016,0.49812260142492,0.757531634491332,0.9662,0.486,0.0162,0.0176
1251,0,0.640436753708725,0.062098181399436,0.0678182886226731,0.497238090612968,0.783635416804481,0.9554,0.4882,0.0284,0.0162,0.488808053095792,0.767599079455916,0.965,0.4344,0.0172,0.0178
1252,0,0.640218729186077,0.0621707259967996,0.0700183677450602,0.496852777948813,0.783584680423342,0.959,0.485,0.0246,0.0164,0.48838628112876,0.767500209912279,0.9662,0.4362,0.0158,0.018
1253,0,0.641250403147961,0.0663083942881235,0.0581206400997766,0.488342971720798,0.794157834575119,0.966,0.4554,0.0242,0.0098,0.479042285984197,0.775761409423963,0.9756,0.3928,0.013,0.0114
1254,0,0.639093653934598,0.066260794402533,0.0595349907873372,0.486295988040444,0.791891319828752,0.9628,0.439,0.0246,0.0126,0.477232986183228,0.773721736775847,0.9704,0.3822,0.015,0.0146
1255,0,0.640215761766126,0.0454965814722203,0.0775556669609726,0.535300456753532,0.745131066778721,0.9478,0.7252,0.0326,0.0196,0.530103227078183,0.736747622851552,0.9534,0.6968,0.0254,0.0212
1256,0,0.638902280006896,0.0454832304973943,0.0784219925148837,0.534017762397462,0.743786797616332,0.94,0.7184,0.0342,0.0258,0.528892099654141,0.735473140532279,0.9436,0.6918,0.0276,0.0288
1257,0,0.640439177222018,0.0473495532881499,0.0632845833431064,0.531250911539472,0.749627442904559,0.9454,0.6982,0.0328,0.0218,0.525656011217244,0.740480748039961,0.9506,0.6682,0.0248,0.0246
1258,0,0.638692764356715,0.047460611864351,0.0645352524257141,0.529248397138203,0.748137131575229,0.9532,0.6864,0.0278,0.019,0.52375988319715,0.739042560524288,0.9598,0.6532,0.0192,0.021
1259,0,0.639801059914499,0.0492204820067607,0.0530084498690078,0.526298424870165,0.753303694958829,0.9498,0.6656,0.0312,0.019,0.520393101827761,0.743422313927347,0.955,0.6318,0.0244,0.0206
1260,0,0.639685920252545,0.0490554309039584,0.0533313846809432,0.526563893733793,0.752807946771294,0.9506,0.672,0.0302,0.0192,0.520699781632641,0.743006878103124,0.9556,0.6374,0.023,0.0214
1261,0,0.639791924282238,0.0406514969761642,0.0780738441637077,0.554386298316222,0.725197550248254,0.9434,0.876,0.0348,0.0218,0.550740550778816,0.719975809805859,0.948,0.8652,0.0274,0.0246
1262,0,0.639106586222051,0.0406745384197777,0.0800187230149062,0.553652551979307,0.724560620464791,0.9478,0.8712,0.033,0.0192,0.550039119748753,0.719367716195878,0.9532,0.8574,0.0248,0.022
1263,0,0.639394436999761,0.0436978948099466,0.0646893416666702,0.54758856668141,0.731200307318115,0.9534,0.8348,0.028,0.0186,0.543484800775498,0.725148563710078,0.9598,0.8178,0.0184,0.0218
1264,0,0.639482537697636,0.0435642710626286,0.0650951265578458,0.547957400455125,0.731007674940148,0.9534,0.8298,0.0278,0.0188,0.543872967854258,0.724994085683868,0.9582,0.8124,0.0212,0.0206
1265,0,0.64083198995835,0.0463389630395125,0.0537472037402943,0.543477441186725,0.738186538729977,0.953,0.8044,0.0298,0.0172,0.538855685694694,0.731274024322341,0.957,0.784,0.0224,0.0206
1266,0,0.639420293135267,0.0462043867005386,0.0538592397930511,0.542348478760287,0.736492107510246,0.949,0.7862,0.0312,0.0198,0.537832699075543,0.729691954803413,0.955,0.7678,0.022,0.023
1267,0,0.640926877024575,0.0326353084109874,0.0787008199684317,0.572362638293868,0.709491115755279,0.95,0.9722,0.0292,0.0208,0.569870961837848,0.706174147958689,0.9532,0.9696,0.0244,0.0224
1268,0,0.640352835167111,0.0324860147179981,0.0786572706970564,0.572102250846474,0.708603419487748,0.9448,0.9752,0.0338,0.0214,0.569643496278932,0.705329522602229,0.949,0.9728,0.0274,0.0236
1269,0,0.640580644800762,0.0338945871952796,0.0635516386878435,0.569370759517327,0.711790530084194,0.9512,0.9644,0.0296,0.0192,0.566710476847295,0.708208043281411,0.9558,0.9598,0.0216,0.0226
1270,0,0.639866401906221,0.0337765600583131,0.0637645564472519,0.568904482436187,0.710828321376257,0.9466,0.962,0.0316,0.0218,0.566286179992035,0.70729432236897,0.9502,0.957,0.0252,0.0246
1271,0,0.640953375586441,0.035002553147218,0.0524898035434297,0.567415740214743,0.714491010958141,0.9428,0.951,0.0346,0.0226,0.564587496890597,0.710647099124753,0.9488,0.9468,0.0276,0.0236
1272,0,0.639404046088352,0.0349594844330084,0.0528894507700705,0.56595689472758,0.712851197449122,0.943,0.945,0.0334,0.0236,0.563183656321712,0.709064749854114,0.9466,0.9396,0.0272,0.0262
1273,0,0.638946439497014,0.0333606932148738,0.0790617913325308,0.570610157260424,0.707282721733601,0.9466,0.9758,0.0306,0.0228,0.568183763585374,0.704061878959007,0.9506,0.9734,0.0256,0.0238
1274,0,0.64049944325287,0.033130150392307,0.0790904410625095,0.57263540658052,0.708363479925222,0.9464,0.9766,0.0316,0.022,0.570204618717612,0.705154860398038,0.9526,0.9736,0.0234,0.024
1275,0,0.640150760084879,0.0356362601806112,0.0642199717844251,0.567153190224042,0.713148329945718,0.9514,0.9574,0.0296,0.019,0.564391794782441,0.709422199621823,0.9568,0.9526,0.0218,0.0214
1276,0,0.639566507915033,0.0353910272009623,0.063447995991447,0.567071275041113,0.712061740788952,0.9504,0.9556,0.028,0.0216,0.564365269670798,0.708410683220973,0.9534,0.9522,0.0232,0.0234
1277,0,0.639489310296438,0.0379254381128722,0.0537775244962007,0.561802572010315,0.717176048582558,0.9488,0.925,0.031,0.0202,0.558741057218745,0.712953834974632,0.9522,0.9188,0.0246,0.0232
1278,0,0.640337425730737,0.0377193275766375,0.0534837709972747,0.56307288573904,0.717601965722437,0.95,0.933,0.0298,0.0202,0.560014577183911,0.71340469645513,0.9548,0.926,0.023,0.0222
1279,0,0.640381979226671,0.0267738558955265,0.0788846797525449,0.585538221596877,0.695225736856464,0.9522,0.9982,0.0282,0.0196,0.583901673960693,0.693176101031818,0.9538,0.998,0.0234,0.0228
1280,0,0.640007358565064,0.0266862450142308,0.0793186969980983,0.585343063690217,0.694671653439915,0.951,0.9978,0.0276,0.0214,0.583722846780908,0.692642116730714,0.954,0.9976,0.0228,0.0232
1281,0,0.639968402541567,0.0277670906606385,0.0634870296748544,0.58309009572544,0.696846709357694,0.9504,0.9968,0.0278,0.0218,0.581343848292407,0.694640269045948,0.9516,0.9966,0.0238,0.0246
